Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota di accredito;347/N;30/06/22;18126.2;53.37;1;9788873340065;Daneri COMPITI DI MAT. PER INIZIARE;3.7;30;111;54;Û 53,37;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;556.75;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;313;1158.1;54;Û 556,75;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;780.88;3;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;439;1624.3;54;Û 780,88;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;567.42;4;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;319;1180.3;54;Û 567,42;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;405.56;5;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.7;228;843.6;54;Û 405,56;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;55.14;6;9788873340164;Gandolfi COMPITI LING. IT. PER INIZIARE;3.7;31;114.7;54;Û 55,14;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;583.43;7;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;328;1213.6;54;Û 583,43;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;771.98;8;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;434;1605.8;54;Û 771,98;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;606.62;9;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;341;1261.7;54;Û 606,62;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;403.82;10;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;227;839.9;54;Û 403,82;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;64.9;11;9788873340256;aa.vv. LAB. MATEMATICA + PERCORSO 1¡ LIV.;25;5;125;50;Û 64,90;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;20.77;12;9788873340263;Rampoldi IL CLUB DI LEONARDO PER INIZIARE;4.8;9;43.2;54;Û 20,77;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;7.64;13;9788873340287;Rampoldi IL CLUB DI LEONARDO PER SCOPRIRE;5.3;3;15.9;54;Û 7,64;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;20.87;14;9788873340294;Rampoldi IL CLUB DI LEONARDO PER APPROFONDIRE;6.2;7;43.4;54;Û 20,87;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;38.94;15;9788873340317;aa.vv. LABORATORIO PER LE ATTIVITA' MOTORIE;25;3;75;50;Û 38,94;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;11.92;16;9788873340379;aa.vv. BUONO A SAPERSI! PER INIZIARE;6.2;4;24.8;54;Û 11,92;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;11.92;17;9788873340386;aa.vv. BUONO A SAPERSI! PER PROGREDIRE;6.2;4;24.8;54;Û 11,92;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;11.92;18;9788873340393;aa.vv. BUONO A SAPERSI! PER SCOPRIRE;6.2;4;24.8;54;Û 11,92;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;3.17;19;9788873340409;aa.vv. BUONO A SAPERSI! PER APPROFONDIRE;6.6;1;6.6;54;Û 3,17;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;9.52;20;9788873340416;aa.vv. BUONO A SAPERSI! PER POTENZIARE;6.6;3;19.8;54;Û 9,52;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;5.71;21;9788873340454;aa.vv. PAROLE PER IL MONDO - LA CASA;5.5;2;11;50;Û 5,71;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;11.42;22;9788873340478;aa.vv. PAROLE PER IL MONDO - MI PIACE...;5.5;4;22;50;Û 11,42;74
Gaia;Nota di accredito;347/N;30/06/22;18126.2;11.42;23;9788873340485;aa.vv. PAROLE PER IL MONDO - L'AMBIENTE;5.5;4;22;50;Û 11,42;74
