Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;PrezzoCopertina;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;1;r;Rifer. D.D.T. n¡ 1.913 del 05/04/2022;;;;;;
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;915.91;2;9788873348092;aa.vv. LA VOCE DELLA TERRA  CL. 5_intero_compl;22.68;50;1134;20;915,91 Û;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;767.7;3;9788873348634;aa.vv. InvestigaTESTO CL. 5  (completo);19.01;50;950.5;20;767,70 Û;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;460.62;4;9788873348221;aa.vv. PAROLA DI LIBRO! CL.5 (completo);19.01;30;570.3;20;460,62 Û;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;136.98;5;9788873348320;aa.vv. IMPARO MI DIVERTO CL.2_completo;16.96;10;169.6;20;136,98 Û;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;195.7;6;9788873348375;aa.vv. IMPARO MI DIVERTO CL.3_completo;24.23;10;242.3;20;195,70 Û;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;7;;Rifer. D.D.T. n¡ 2.141 del 19/04/2022;;;;;;
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;8;9788873349181;AA.VV. VOCE TERRAPIU' CL.4_Guida GEO;1;25;25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;9;9788873349211;AA.VV. VOCE TERRAPIU' CL.4_Guida MATEMATICA;1;25;25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;10;9788873349204;AA.VV. VOCE TERRAPIU' CL.4_Guida SCIENZE;1;25;25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;11;9788873349198;AA.VV. VOCE TERRAPIU' CL.4_Guida STORIA;1;25;25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;12;9788873348528;aa.vv. PAROLA DI LIBRO! CL.4 - Guida;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;13;9788873348689;aa.vv. InvestigaTESTO cl.4 - Guida al testo;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;14;9788873346470;aa.vv. SUSSIDIARIO DISCIPLINE CL. 4_GUIDA CLIL;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;15;9788873341284;aa.vv. AGENDA MOLESKINE;0.3;75;22.5;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;16;9788873347439;aa.vv. CALENDOMAPPE MATEMATICA;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;17;9788873347446;aa.vv. CALENDOMAPPE SCIENZE;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;18;9788873346609;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area antrop;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;19;9788873346593;aa.vv. POSTER SUSS. DISCIPL. CL. 4_area matem;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;20;9788873347552;aa.vv. IL MIO LIBRO FACILE cl. 4-Suss Discipl;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;21;SCATINS;CARTELLINA INSEGNANTE;;75;;100;;
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;22;SCATCAL;CARTELLINA CALENDOMAPPE;;25;;100;;
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;0;23;9788873346302;aa.vv. POSTER SUSS. LINGUAGGI CL. 4;0.01;25;0.25;99.99;;74
Gaia;Nota di debito differita;471/F;29/04/22;2501.68;24.77;24;sp;Spese Trasporto;;;;;24,77 Û;
