Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;0;1;r;Rifer. D.D.T. n¡ 3.185 del 22/05/2023;;;;;;
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;177.88;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;100;370;54;Û 177,88;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;355.79;3;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;200;740;54;Û 355,79;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;88.94;4;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;50;185;54;Û 88,94;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;355.79;5;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.7;200;740;54;Û 355,79;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;177.88;6;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;100;370;54;Û 177,88;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;266.84;7;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;150;555;54;Û 266,84;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;88.94;8;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;50;185;54;Û 88,94;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;177.88;9;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;100;370;54;Û 177,88;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;425.79;10;9788873343103;aa.vv. PASS SCUOLA SECONDARIA;8.2;100;820;50;Û 425,79;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;425.79;11;9788873342748;aa.vv. SOTTO QUESTO SOLE CL. 1 + narr;8.2;100;820;50;Û 425,79;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;851.57;12;9788873342755;aa.vv. SOTTO QUESTO SOLE CL. 2 + narr;8.2;200;1640;50;Û 851,57;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;212.87;13;9788873342762;aa.vv. SOTTO QUESTO SOLE CL. 3 + narr;8.2;50;410;50;Û 212,87;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;851.57;14;9788873342885;aa.vv. SOTTO QUESTO SOLE CL. 4 + narr;8.2;200;1640;50;Û 851,57;74
Gaia Scuola;Nota di debito differita;550/F;31/05/23;4524.39;66.86;15;sp;Spese Trasporto;;;;;Û 66,86;
