Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;0;1;;Accredito saggi;;;;;;
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;24.9;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;14;51.8;54;Û 24,90;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;55.14;3;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.7;31;114.7;54;Û 55,14;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;56.93;4;9788873340096;Daneri COMPITI DI MAT. PER APPROFONDIRE;3.7;32;118.4;54;Û 56,93;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;28.46;5;9788873340102;Daneri COMPITI DI MAT. PER POTENZIARE;3.7;16;59.2;54;Û 28,46;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;24.9;6;9788873340171;Gandolfi COMPITI LING. IT. PER PROGREDIRE;3.7;14;51.8;54;Û 24,90;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;58.69;7;9788873340188;Gandolfi COMPITI LING. IT. PER SCOPRIRE;3.7;33;122.1;54;Û 58,69;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;53.37;8;9788873340195;Gandolfi COMPITI LING. IT. PER APPROFONDIRE;3.7;30;111;54;Û 53,37;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;37.36;9;9788873340201;Gandolfi COMPITI LING. IT. PER POTENZIARE;3.7;21;77.7;54;Û 37,36;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;5;10;9788873341833;Valerio MISSIONE-ITALIANO per progredire;5.2;2;10.4;54;Û 5,00;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;8.94;11;9788873341857;Negri MISSIONE-ITALIANO per approfondire;6.2;3;18.6;54;Û 8,94;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;20.87;12;9788873341864;Papeschi MISSIONE-ITALIANO per potenziare;6.2;7;43.4;54;Û 20,87;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;5;13;9788873341888;Pagano MISSIONE-MAT e SCIENZE per progredire;5.2;2;10.4;54;Û 5,00;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;11.92;14;9788873341901;Pagano MISSIONE-MAT e SCIENZE per approfondire;6.2;4;24.8;54;Û 11,92;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;14.9;15;9788873341918;Pagano MISSIONE-MAT e SCIENZE per potenziare;6.2;5;31;54;Û 14,90;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;2.02;16;9788873341932;Lancetti MISSIONE-STORIA GEOGRAFIA per progredire;4.2;1;4.2;54;Û 2,02;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;2.16;17;9788873341949;Lancetti MISSIONE-STORIA GEOGRAFIA per scoprire;4.5;1;4.5;54;Û 2,16;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;7.5;18;9788873341956;Negri MISSIONE-STORIA GEOGRAFIA approfondire;5.2;3;15.6;54;Û 7,50;74
Gaia Scuola;Nota di accredito;336/N;30/12/22;423.06;5;19;9788873341963;Negri MISSIONE-STORIA GEOGRAFIA potenziare;5.2;2;10.4;54;Û 5,00;74
;;;;;423.06;;;;;;;;;
Gaia Scuola;Nota di accredito;337/N;30/12/22;19045.21;0;1;;Accredito giacenza;;;;;;
Gaia Scuola;Nota di accredito;337/N;30/12/22;19045.21;112.06;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.7;63;233.1;54;Û 112,06;74
