Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;;1;;Rifer. D.D.T. n¡ 4.346 del 19/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;0.00;2;9788873346913;aa.vv. POSTER SUSS. DISCIPL.  CL. 5_area matem;0.02;12;0.24;100;;74;;;;;;;;;;;;;;;;;;;74.00
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;0.00;3;9788873346920;aa.vv. POSTER SUSS. DISCIPL.  CL. 5_area antrop;0.02;12;0.24;100;;74;;;;;;;;;;;;;;;;;;;74.00
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;0.00;4;SOLGRAM5;aa.vv. PAROLA DI LIBRO 5 Gramm_Libro doc. soluz;0.01;2;0.02;100;;74;;;;;;;;;;;;;;;;;;;74.00
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;0.00;5;9788873346319;aa.vv. POSTER SUSS. LINGUAGGI CL. 5;0.02;9;0.18;100;;74;;;;;;;;;;;;;;;;;;;74.00
Gaia;Nota di debito differita;1.046/F;28/10/22;0.00;0.00;6;9788873347903;aa.vv. IL MIO LIBRO FACILE cl.5 - Suss Discipl.;0.02;30;0.60;100;;74;;;;;;;;;;;;;;;;;;;74.00
Gaia;Nota di accredito;412/N;28/10/22;595.48;;1;;Vostra resa del 18/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;412/N;28/10/22;595.48;142.15;2;9788873348122;aa.vv. LA VOCE DELLA TERRA  CL. 5 - Storia;5.50;32;176.00;20;142,15 Û;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;412/N;28/10/22;595.48;121.73;3;9788873348139;aa.vv. LA VOCE DELLA TERRA  CL. 5 - Geografia;4.71;32;150.72;20;121,73 Û;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;412/N;28/10/22;595.48;101.57;4;9788873348146;aa.vv. LA VOCE DELLA TERRA  CL. 5 - Scienze;3.93;32;125.76;20;101,57 Û;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;412/N;28/10/22;595.48;230.03;5;9788873348153;aa.vv. LA VOCE DELLA TERRA  CL. 5 - Matematica;8.90;32;284.80;20;230,03 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;155/F;31/01/23;0.00;;1;;Rifer. D.D.T. n¡ 19 del 09/01/2023;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;155/F;01/02/23;0.00;0.00;2;9788873347453;aa.vv. CALENDOMAPPE STORIA;0.01;25;0.25;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;155/F;02/02/23;0.00;0.00;3;9788873347460;aa.vv. CALENDOMAPPE GEOGRAFIA;0.01;25;0.25;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;943/F;30/09/22;0.00;;1;;Rifer. D.D.T. n¡ 4.189 del 27/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;943/F;30/09/22;0.00;0.00;2;9788873348672;aa.vv. InvestigaTESTO cl.5 - Guida al testo;0.02;5;0.10;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;943/F;30/09/22;0.00;0.00;3;INVTSOLGRAM5;aa.vv. InvestigaTESTO CL.5 Gramm-Libro doc. sol;0.01;5;0.05;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;943/F;30/09/22;0.00;0.00;4;SOLMAT5;aa.vv. VOCE DELLA TERRA 5 Mate_Libro doc. soluz;0.01;11;0.11;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;;1;;Rifer. D.D.T. n¡ 6.166 del 13/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;96.92;2;9788873349006;aa.vv. VOCE TERRA PIU'CL. 5 area antro completo;12.00;10;120.00;20;Û 96,92;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;77.60;3;9788873349013;aa.vv. VOCE TERRA PIU' CL.5 area mate completo;12.01;8;96.08;20;Û 77,60;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;;4;;Rifer. D.D.T. n¡ 6.334 del 25/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;0.00;5;9788873348757;aa.vv. IMPARO E MI DIVERTO CL.3 Guida_Linguaggi;0.02;1;0.02;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;0.00;6;9788873348764;aa.vv. IMPARO E MI DIVERTO CL.3 Guida_Mate Scie;0.02;1;0.02;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;0.00;7;9788873348771;aa.vv. IMPARO E MI DIVERTO CL3 Guida_Storia Geo;0.02;2;0.04;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;1.318/F;31/10/23;0.00;0.00;8;9788873347552;aa.vv. IL MIO LIBRO FACILE cl. 4-Suss Discipl;0.02;40;0.80;100;;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;;1;;Fatturazione giacenza;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;112.06;2;9788873340072;Daneri COMPITI DI MAT. PER PROGREDIRE;3.70;63;233.10;54;112,06 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota debito giac.inizio anno;25/F;01/02/23;19045.21;69.37;3;9788873340089;Daneri COMPITI DI MAT. PER SCOPRIRE;3.70;39;144.30;54;69,37 Û;74;;;;;;;;;;;;;;;;;;;
