CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
CSEE81201E,1,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,IL LIBRO DELLA PRIMA CLASSE,9788847248571,"MORGESE ROBERTO  ",COLIBRI' 1 METODO B QUATTRO CARATTERI,ND,1,RAFFAELLO,"13,34",Si,Si,No
CSEE81201E,2,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,RELIGIONE,9788842632924,BERGER MARELLA - GENNESI MARINA - STIO NICOLETTA,NUOVO COME FARFALLE DAI MILLE COLORI 1-2-3 (IL),CORSO DI IRC PER LA SCUOLA PRIMARIA,U,IL CAPITELLO,"8,19",No,No,No
CSEE81201E,2,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
CSEE81201E,2,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,IL LIBRO DELLA PRIMA CLASSE,9788891593320,"AA VV  ",VOLA CON BOB CLASSE 1 METODO QUATTRO CARATTERI,ND,1,FABBRI SCUOLA,"13,34",No,Si,No
CSEE81201E,2,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788842632924,BERGER MARELLA - GENNESI MARINA - STIO NICOLETTA,NUOVO COME FARFALLE DAI MILLE COLORI 1-2-3 (IL),CORSO DI IRC PER LA SCUOLA PRIMARIA,U,IL CAPITELLO,"8,19",No,No,No
CSEE81201E,2,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
CSEE81201E,2,B,EE,27 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788891593320,"AA VV  ",VOLA CON BOB CLASSE 1 METODO QUATTRO CARATTERI,ND,1,FABBRI SCUOLA,"13,34",No,Si,No
CSEE81201E,3,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,RELIGIONE,9788826136417,"DONDI S  ",CHE BELLO È! UN PONTE TRA I POPOLI 1-2-3,ND,U,PICCOLI,"8,19",No,No,No
CSEE81201E,3,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,LINGUA INGLESE,9788891573896,"AA VV  ",PLAY ON! GOLD,CLASSE TERZA,3,FABBRI SCUOLA,"8,06",No,Si,No
CSEE81201E,3,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO (1° BIENNIO),9788891577665,"AA VV  ",UNA VALIGIA PER SOGNARE,CLASSE TERZA,3,FABBRI SCUOLA,"26,71",No,Si,No
CSEE81201E,3,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788826136417,"DONDI S  ",CHE BELLO È! UN PONTE TRA I POPOLI 1-2-3,ND,U,PICCOLI,"8,19",No,No,No
CSEE81201E,3,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788891573896,"AA VV  ",PLAY ON! GOLD,CLASSE TERZA,3,FABBRI SCUOLA,"8,06",No,Si,No
CSEE81201E,3,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788891577665,"AA VV  ",UNA VALIGIA PER SOGNARE,CLASSE TERZA,3,FABBRI SCUOLA,"26,71",No,Si,No
CSEE81201E,4,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,RELIGIONE,9788842632931,BERGER MARELLA - GENNESI MARINA - STIO NICOLETTA,NUOVO COME FARFALLE DAI MILLE COLORI 4-5 (IL),CORSO DI IRC PER LA SCUOLA PRIMARIA,U,IL CAPITELLO,"8,19",No,Si,No
CSEE81201E,4,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,LINGUA INGLESE,9788883397103,"AA VV  ",BILLY BOT GOLD 4,ND,1,PEARSON LONGMAN,"8,06",No,Si,No
CSEE81201E,4,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788809917620,"AA VV  ",NUOVO VIVA IMPARARE CL. 4  ANTROPOLOGICO,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
CSEE81201E,4,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809917637,"AA VV  ",NUOVO VIVA IMPARARE CL. 4 MATEMATICA,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
CSEE81201E,4,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO DEI LINGUAGGI,9791220410731,"BRAMATI EMANUELA - BRAMATI LAURA ",BOTTEGA DELLE STORIE (LA),CLASSE 4A,1,A. MONDADORI SCUOLA,"17,28",Si,Si,No
CSEE81201E,4,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788842632931,BERGER MARELLA - GENNESI MARINA - STIO NICOLETTA,NUOVO COME FARFALLE DAI MILLE COLORI 4-5 (IL),CORSO DI IRC PER LA SCUOLA PRIMARIA,U,IL CAPITELLO,"8,19",No,Si,No
CSEE81201E,4,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788883397103,"AA VV  ",BILLY BOT GOLD 4,ND,1,PEARSON LONGMAN,"8,06",No,Si,No
CSEE81201E,4,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788809917620,"AA VV  ",NUOVO VIVA IMPARARE CL. 4  ANTROPOLOGICO,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
CSEE81201E,4,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809917637,"AA VV  ",NUOVO VIVA IMPARARE CL. 4 MATEMATICA,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
CSEE81201E,4,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9791220410731,"BRAMATI EMANUELA - BRAMATI LAURA ",BOTTEGA DELLE STORIE (LA),CLASSE 4A,1,A. MONDADORI SCUOLA,"17,28",Si,Si,No
CSEE81201E,5,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809917637,"AA VV  ",NUOVO VIVA IMPARARE CL. 4 MATEMATICA,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
CSEE81201E,5,A,EE,40 ORE A TEMPO PIENO CON 2 DOCENTI,SUSSIDIARIO DEI LINGUAGGI,9788809917590,"AA VV  ",NUOVO VIVA LEGGERE CL. 4,ND,1,GIUNTI SCUOLA,"17,28",No,Si,No
CSEE822026,5,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788851911140,"AGLIOCCHI CARLA - BASILE CATERINA ",IL SENTIERO FIORITO,VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
