CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
PN1E001008,5,C,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788829858590,"FORTUNATO FRANCESCA  ",LIBRO CHE VORREI (IL),CLASSE 5A,2,MINERVA ITALICA,"20,96",No,Si,No
PN1E001008,3,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,No,No
PN1E001008,3,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640017,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 3,ND,3,ELI,"8,06",No,Si,No
PN1E001008,3,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788876275364,SANSONETTI EMILIA - RESTAURI SIMONA - ZINDATO CARLA,PAROLA DI PEPITO 3 2022,ND,3,LISCIANI SCUOLA,"26,71",No,Si,No
PN1E001008,4,B,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839374,"AA VV  ",MONDO DI BENE 4-5 (UN),ND,U,LA SPIGA,"8,19",No,Si,No
PN1E001008,4,B,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640024,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 4,ND,1,ELI,"8,06",No,Si,No
PN1E001008,4,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842618867,"AA VV  ",SFOGLIAMONDO DISCIPLINE 4 KIT ANTROPOLOGICO,ND,1,IL CAPITELLO,"10,73",No,Si,No
PN1E001008,4,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842618874,"AA VV  ",SFOGLIAMONDO DISCIPLINE 4 KIT SCIENTIFICO,ND,1,IL CAPITELLO,"10,73",Si,Si,No
PN1E001008,4,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788842618232,"AA VV  ",SFOGLIASTORIE LINGUAGGI 4,ND,1,IL CAPITELLO,"17,28",No,Si,No
PN1E001008,5,B,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788809930094,"DE ROSSI FRANCESCO  ",UN CIELO A COLORI CL. 4-5,ND,U,GIUNTI SCUOLA,"8,19",No,No,No
PN1E001008,5,B,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640031,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 5,ND,2,ELI,"10,08",No,Si,No
PN1E001008,5,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788847307438,"AA VV  ",NEL CUORE DEI SAPERI STO-GEO 5,ND,2,CETEM,"12,50",No,Si,No
PN1E001008,5,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788847307445,"AA VV  ",NEL CUORE DEI SAPERI MATE-SCI 5,ND,2,CETEM,"12,50",No,Si,No
PN1E001008,5,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788829858590,"FORTUNATO FRANCESCA  ",LIBRO CHE VORREI (IL),CLASSE 5A,2,MINERVA ITALICA,"20,96",No,Si,No
PN1E001008,4,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839374,"AA VV  ",MONDO DI BENE 4-5 (UN),ND,U,LA SPIGA,"8,19",No,Si,No
PN1E001008,4,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640024,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 4,ND,1,ELI,"8,06",No,Si,No
PN1E001008,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842618867,"AA VV  ",SFOGLIAMONDO DISCIPLINE 4 KIT ANTROPOLOGICO,ND,1,IL CAPITELLO,"10,73",No,Si,No
PN1E001008,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842618874,"AA VV  ",SFOGLIAMONDO DISCIPLINE 4 KIT SCIENTIFICO,ND,1,IL CAPITELLO,"10,73",Si,Si,No
PN1E001008,4,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788842618232,"AA VV  ",SFOGLIASTORIE LINGUAGGI 4,ND,1,IL CAPITELLO,"17,28",No,Si,No
PN1E001008,1,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,Si,No
PN1E001008,1,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853639998,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 1,ND,1,ELI,"4,02",No,Si,No
PN1E001008,1,A,EE,40 ORE A TEMPO PIENO,IL LIBRO DELLA PRIMA CLASSE,9788861618558,"AA  VV  ",SCOPRIAMO MERAVIGLIE - STAMPATO,ND,1,LANG EDIZIONI,"13,34",Si,Si,No
PN1E001008,2,B,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,No,No
PN1E001008,2,B,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640000,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 2,ND,2,ELI,"6,03",No,Si,No
PN1E001008,2,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788846844521,"AA VV  ",NUOVA FESTA A SORPRESA 2,ND,2,LA SPIGA,"18,69",No,Si,No
PN1E001008,5,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788809930094,"DE ROSSI FRANCESCO  ",UN CIELO A COLORI CL. 4-5,ND,U,GIUNTI SCUOLA,"8,19",No,No,No
PN1E001008,5,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640031,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 5,ND,2,ELI,"10,08",No,Si,No
PN1E001008,5,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788847307438,"AA VV  ",NEL CUORE DEI SAPERI STO-GEO 5,ND,2,CETEM,"12,50",No,Si,No
PN1E001008,5,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788847307445,"AA VV  ",NEL CUORE DEI SAPERI MATE-SCI 5,ND,2,CETEM,"12,50",No,Si,No
PN1E001008,5,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO DEI LINGUAGGI,9788829858590,"FORTUNATO FRANCESCA  ",LIBRO CHE VORREI (IL),CLASSE 5A,2,MINERVA ITALICA,"20,96",No,Si,No
PN1E001008,1,B,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,Si,No
PN1E001008,1,B,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853639998,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 1,ND,1,ELI,"4,02",No,Si,No
PN1E001008,1,B,EE,40 ORE A TEMPO PIENO,IL LIBRO DELLA PRIMA CLASSE,9788861618558,"AA  VV  ",SCOPRIAMO MERAVIGLIE - STAMPATO,ND,1,LANG EDIZIONI,"13,34",Si,Si,No
PN1E001008,2,A,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,No,No
PN1E001008,2,A,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640000,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 2,ND,2,ELI,"6,03",No,Si,No
PN1E001008,2,A,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788846844521,"AA VV  ",NUOVA FESTA A SORPRESA 2,ND,2,LA SPIGA,"18,69",No,Si,No
PN1E001008,3,B,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788846839350,"AA VV  ",MONDO DI BENE 1-2-3 (UN),ND,U,LA SPIGA,"8,19",No,No,No
PN1E001008,3,B,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640017,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 3,ND,3,ELI,"8,06",No,Si,No
PN1E001008,3,B,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788876275364,SANSONETTI EMILIA - RESTAURI SIMONA - ZINDATO CARLA,PAROLA DI PEPITO 3 2022,ND,3,LISCIANI SCUOLA,"26,71",No,Si,No
PN1E001008,5,C,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788809930094,"DE ROSSI FRANCESCO  ",UN CIELO A COLORI CL. 4-5,ND,U,GIUNTI SCUOLA,"8,19",No,No,No
PN1E001008,5,C,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788853640031,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 5,ND,2,ELI,"10,08",No,Si,No
