CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
GE1E00800L,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9781292480374,"AA VV  ",MY DISNEY STARS AND HEROES LEVEL 1 STUDENT'S PACK,ND,1,PEARSON LONGMAN,"4,02",Si,Si,No
GE1E00800L,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9788883977664,"CENTRO DI RICERCA DIDATTICA - DATTOLICO ROSA ",DINO SAURO -  CHE MAGIA ! 1 METODO ROSSO STAMPATO,ND,1,ARDEA EDITRICE,"13,34",Si,Si,No
GE1E00800L,2,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788835056119,"CRISTIANI CLAUDIO  ",PONTI ARCOBALENO PLUS 1-2-3,RELIGIONE PRIMO ANNO + BIENNIO,U,LA SCUOLA EDITRICE,"8,19",No,No,No
GE1E00800L,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9780194464680,"AA VV  ",LEARN WITH US 2,CB&WB CON QR CODE & EBK + CD 2,2,OXFORD UNIVERSITY PRESS,"6,03",No,Si,No
GE1E00800L,2,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9791255810018,"AA  VV  ",SCOPRIAMO MERAVIGLIE 2,ND,2,LANG EDIZIONI,"18,69",No,Si,No
GE1E00800L,3,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788835056119,"CRISTIANI CLAUDIO  ",PONTI ARCOBALENO PLUS 1-2-3,RELIGIONE PRIMO ANNO + BIENNIO,U,LA SCUOLA EDITRICE,"8,19",No,No,No
GE1E00800L,3,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9780194464802,"AA VV  ",LEARN WITH US 3,CB&WB CON QR CODE & EBK + CD 3,3,OXFORD UNIVERSITY PRESS,"8,06",No,Si,No
GE1E00800L,3,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788891575692,"AA VV  ",SORRIDOIMPARO IN CLASSE,CLASSE TERZA,3,FABBRI SCUOLA,"26,71",No,Si,No
GE1E00800L,4,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788835056126,"AA VV  ",PONTI ARCOBALENO PLUS 4-5,RELIGIONE SECONDO BIENNIO,U,LA SCUOLA EDITRICE,"8,19",No,Si,No
GE1E00800L,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788861617124,"F  FOSTER - B  BROWN ",BILLY BOT - STORIES FOR SUPER CITIZENS 4,ND,1,LANG EDIZIONI,"8,06",Si,Si,No
GE1E00800L,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788891598189,"AA VV  ",STORIE DI GEA (LE),CLASSE 4,1,FABBRI SCUOLA,"17,28",Si,Si,No
GE1E00800L,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE,9791223100356,"AA VV  ",MONDI DI GEA (I),CLASSE 4 TOMO ANTROPOLOGICO E TOMO SCIENTIFICO,1,FABBRI SCUOLA,"21,46",Si,Si,No
GE1E00800L,5,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788835056126,"AA VV  ",PONTI ARCOBALENO PLUS 4-5,RELIGIONE SECONDO BIENNIO,U,LA SCUOLA EDITRICE,"8,19",No,No,No
