CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
ANEE82001C,3,A,EE,CORSO A TEMPO MODULARE,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
ANEE82001C,3,A,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO (1° BIENNIO),9788861619302,"AA VV  ",IN VIA DEGLI IPPOCASTANI 3,ND,3,LANG EDIZIONI,"26,71",No,Si,No
ANEE82001C,3,B,EE,CORSO A TEMPO MODULARE,RELIGIONE,9788842618195,"BAZZI - CALFUS ",GOCCE DI VITA 1-2-3,ND,U,IL CAPITELLO,"8,19",No,No,No
ANEE82001C,3,B,EE,CORSO A TEMPO MODULARE,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
ANEE82001C,3,B,EE,CORSO A TEMPO MODULARE,SUSSIDIARIO (1° BIENNIO),9788861619302,"AA VV  ",IN VIA DEGLI IPPOCASTANI 3,ND,3,LANG EDIZIONI,"26,71",No,Si,No
ANEE82001C,3,C,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788842618195,"BAZZI - CALFUS ",GOCCE DI VITA 1-2-3,ND,U,IL CAPITELLO,"8,19",No,No,No
ANEE82001C,3,C,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
ANEE82001C,3,C,EE,40 ORE A TEMPO PIENO,SUSSIDIARIO (1° BIENNIO),9788861619302,"AA VV  ",IN VIA DEGLI IPPOCASTANI 3,ND,3,LANG EDIZIONI,"26,71",No,Si,No
ANEE82001C,3,D,EE,40 ORE A TEMPO PIENO,RELIGIONE,9788842618195,"BAZZI - CALFUS ",GOCCE DI VITA 1-2-3,ND,U,IL CAPITELLO,"8,19",No,No,No
ANEE82001C,3,D,EE,40 ORE A TEMPO PIENO,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
