CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
CA1E00800G,1,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788883398193,"AA  VV  ",GO KIDS GOLD 1,ND,1,PEARSON LONGMAN,"4,02",No,Si,No
CA1E00800G,1,A,EE,30 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788861618558,"AA  VV  ",SCOPRIAMO MERAVIGLIE - STAMPATO,ND,1,LANG EDIZIONI,"13,34",Si,Si,No
CA1E00800G,2,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788851909987,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 1° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
CA1E00800G,2,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
CA1E00800G,2,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788873349624,"AA VV  ",CIAO SCUOLA CL. 2,ND,2,GAIA EDIZIONI,"18,69",Si,Si,No
CA1E00800G,3,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788851909987,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 1° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
CA1E00800G,3,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788883398216,"AA  VV  ",GO KIDS GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
CA1E00800G,3,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788891577665,"AA VV  ",UNA VALIGIA PER SOGNARE,CLASSE TERZA,3,FABBRI SCUOLA,"26,71",No,Si,No
CA1E00800G,4,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788851910051,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,Si,No
CA1E00800G,4,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788883398223,"AA  VV  ",GO KIDS GOLD 4,ND,1,PEARSON LONGMAN,"8,06",No,Si,No
CA1E00800G,4,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842618881,"AA VV  ",SFOGLIAMONDO DISCIPLINE 5 KIT ANTROPOLOGICO,ND,2,IL CAPITELLO,"12,50",Si,Si,No
CA1E00800G,4,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842618898,"AA VV  ",SFOGLIAMONDO DISCIPLINE 5 KIT SCIENTIFICO,ND,2,IL CAPITELLO,"12,50",Si,Si,No
CA1E00800G,4,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788847307391,STANO LAURA - ZAMPIGHI FLAVIA - BENELLI MARIA ROSA,NEL CUORE DELLE PAROLE 4,ND,1,CETEM,"17,28",Si,Si,No
CA1E00800G,5,A,EE,30 ORE SETTIMANALI,RELIGIONE,9788851910051,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
CA1E00800G,5,A,EE,30 ORE SETTIMANALI,LINGUA INGLESE,9788883398230,"AA  VV  ",GO KIDS GOLD 5,ND,2,PEARSON LONGMAN,"10,08",Si,Si,No
CA1E00800G,5,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788847307438,"AA VV  ",NEL CUORE DEI SAPERI STO-GEO 5,ND,2,CETEM,"12,50",Si,Si,No
CA1E00800G,5,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788847307407,STANO LAURA - ZAMPIGHI FLAVIA - BENELLI MARIA ROSA,NEL CUORE DELLE PAROLE 5,ND,2,CETEM,"20,96",Si,Si,No
CA1E00800G,5,A,EE,30 ORE SETTIMANALI,SUSSIDIARIO DELLE DISCIPLINE,9788847307469,"AA VV  ",NEL CUORE DEI SAPERI UNICO 5,ND,2,CETEM,"25,00",Si,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,ITALIANO,9788891556431,"ZORDAN ROSETTA  ",LETTURA OLTRE,"VOLUME 1, QUADERNO 1, MITO EPICA",1,FABBRI SCUOLA,"28,30",No,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,ITALIANO,9788891590848,"ZORDAN ROSETTA  ",IN OTTIMA FORMA EDIZIONE IN DUE VOLUMI,FONOLOGIA ORTOGRAFIA MORFOLOGIA LESSICO E SINTASSI,1,FABBRI SCUOLA,"29,20",Si,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,LINGUA INGLESE,9780194088053,"AA VV  ",THINK BIG 1 PLUS: SB+BOOSTER W/DIG,ND,1,OXFORD UNIVERSITY PRESS,"23,10",No,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,LINGUA INGLESE,9780194122573,"AA VV  ",THINK BIG 1,VISUAL ENGLISH TRAINER,1,OXFORD UNIVERSITY PRESS,"4,30",No,No,Mo
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,STORIA,9791255290896,"BERTINI FRANCO  ",STORIA ANCH'IO,VOLUME 1 IL MEDIOEVO,1,MURSIA SCUOLA,"24,20",Si,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,GEOGRAFIA,9788842655817,DE MARCHI R - FERRARA F - DOTTORI G,GEOMAGAZINE 1 + REGIONI,ND,1,IL CAPITELLO,"23,50",No,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,MATEMATICA,9788826824314,VACCA ROBERTO - ARTUSO BRUNO - BEZZI CLAUDIA,ARCHIMEDE VOL. 1,ARITMETICA 1 + GEOMETRIA 1 + LABORATORIO 1,1,ATLAS,"29,50",No,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,SCIENZE,9788891917331,"GIANFRANCO BO - SILVIA DEQUINO ",NATURA FUTURA - 1,ND,1,PEARSON SCIENCE,"19,60",No,Si,No
CA1M01200C,1,A,MM,30/33 ORE ORARIO ORDINARIO,TECNOLOGIA,9788808950758,PACI GIAMPIETRO - PACI RICCARDO - BERNARDINI LUCIA,TECNOLOGIA.VERDE 2ED. - CONFEZIONE TECNOLOGIA+DISEGNO (LDM),ND,U,ZANICHELLI EDITORE,"27,60",No,Si,No
