CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
IBEE809021,1,A,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788842632993,"DONDI SILVIA - PADALINO LUCIA ",LEGGO E SCRIVO CON CAMI 1,PER IL CONSEGUIMENTO DELLE COMPETENZE LINGUISTICO-ESPRESSIVE,U,IL CAPITELLO,"4,50",Si,Si,No
IBEE809021,1,A,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788891555540,"AA VV  ",FUORICLASSE 1 STORIA GEOGRAFIA,ND,U,FABBRI SCUOLA,"6,80",Si,Si,No
IBEE809021,1,B,EE,SEDE CENTRALE,LINGUA INGLESE,9788853623799,BERTARINI MARIAGRAZIA - HUBER MARTHA - IOTTI PAOLO,THE STORY GARDEN 1,ND,1,ELI,"4,02",No,Si,No
IBEE809021,1,B,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788842632993,"DONDI SILVIA - PADALINO LUCIA ",LEGGO E SCRIVO CON CAMI 1,PER IL CONSEGUIMENTO DELLE COMPETENZE LINGUISTICO-ESPRESSIVE,U,IL CAPITELLO,"4,50",Si,Si,No
IBEE809021,1,B,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788891555540,"AA VV  ",FUORICLASSE 1 STORIA GEOGRAFIA,ND,U,FABBRI SCUOLA,"6,80",Si,Si,No
IBEE809021,2,A,EE,SEDE CENTRALE,LINGUA INGLESE,9788853640000,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 2,ND,2,ELI,"6,03",No,Si,No
IBEE809021,2,A,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788842633013,"DONDI SILVIA - PADALINO LUCIA ",LEGGO E SCRIVO CON CAMI 2,PER IL CONSEGUIMENTO DELLE COMPETENZE LINGUISTICO-ESPRESSIVE,U,IL CAPITELLO,"4,50",Si,Si,No
IBEE809021,2,A,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788891555557,"AA VV  ",FUORICLASSE 2 STORIA GEOGRAFIA,ND,U,FABBRI SCUOLA,"6,80",Si,Si,No
IBEE809021,2,B,EE,SEDE CENTRALE,LINGUA INGLESE,9788853640000,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 2,ND,2,ELI,"6,03",No,Si,No
IBEE809021,2,B,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788842633013,"DONDI SILVIA - PADALINO LUCIA ",LEGGO E SCRIVO CON CAMI 2,PER IL CONSEGUIMENTO DELLE COMPETENZE LINGUISTICO-ESPRESSIVE,U,IL CAPITELLO,"4,50",Si,Si,No
IBEE809021,2,B,EE,SEDE CENTRALE,PARASCOLASTICA (AMBITO UMANISTICO),9788891555557,"AA VV  ",FUORICLASSE 2 STORIA GEOGRAFIA,ND,U,FABBRI SCUOLA,"6,80",Si,Si,No
IBEE809021,3,A,EE,SEDE CENTRALE,LINGUA INGLESE,9788853640017,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 3,ND,3,ELI,"8,06",No,Si,No
IBEE809021,3,A,EE,SEDE CENTRALE,SUSSIDIARIO (1° BIENNIO),9788891575692,"AA VV  ",SORRIDOIMPARO IN CLASSE,CLASSE TERZA,3,FABBRI SCUOLA,"26,71",No,Si,No
IBEE809021,3,B,EE,SEDE CENTRALE,LINGUA INGLESE,9788853640017,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 3,ND,3,ELI,"8,06",No,Si,No
