CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
AO1E018020,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853645975,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO PLUS 3,LIVRE DE L'ELEVE,3,ELI,"9,28",No,Si,No
AO1E018020,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853646002,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO PLUS CAHIER 3,ND,3,ELI,"9,90",No,Si,No
AO1E018020,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788809917620,"AA VV  ",NUOVO VIVA IMPARARE CL. 4  ANTROPOLOGICO,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
AO1E018020,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788809917637,"AA VV  ",NUOVO VIVA IMPARARE CL. 4 MATEMATICA,ND,1,GIUNTI SCUOLA,"10,73",No,Si,No
AO1E018020,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788809917590,"AA VV  ",NUOVO VIVA LEGGERE CL. 4,ND,1,GIUNTI SCUOLA,"17,28",No,Si,No
AO1E018020,1,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788847233522,"FIORUCCI STEFANIA  ",GRANDE AMORE 1-2-3 (UN),ND,U,RAFFAELLO,"8,19",No,Si,No
AO1E018020,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788853627162,"BERTARINI MARIAGRAZIA  ",GET ON 1,ND,1,ELI,"4,02",No,Si,No
AO1E018020,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853645982,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO PLUS CAHIER 1,ND,1,ELI,"9,90",Si,Si,No
AO1E018020,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9788847242340,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 1 METODO A STAMPATO,ND,1,RAFFAELLO,"13,34",No,Si,No
AO1E018020,5,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788853620705,BERTARINI MARIAGRAZIA - HUBER MARTHA - IOTTI PAOLO,NOW I CAN 5,ND,5,ELI,"10,08",No,Si,No
AO1E018020,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788809917651,"AA VV  ",NUOVO VIVA IMPARARE CL. 5  ANTROPOLOGICO,ND,2,GIUNTI SCUOLA,"12,50",Si,Si,No
