gruppo,editore
Zanichelli,ZANICHELLI EDITORE
Sanoma Italia,PARAVIA
La Scuola SEI,SEI
Sanoma Italia,B.MONDADORI
Mondadori Education,A. MONDADORI SCUOLA
Rizzoli Education,FABBRI SCUOLA
DeaScuola,PETRINI
DeaScuola,MARIETTI SCUOLA
Loescher,LOESCHER EDITORE
Sanoma Italia,LANG EDIZIONI
La Scuola SEI,LA SCUOLA EDITRICE
Rizzoli Education,OXFORD UNIVERSITY PRESS
Hoepli,HOEPLI
DeaScuola,DE AGOSTINI
Giunti,GIUNTI SCUOLA
Raffaello Scuola,RAFFAELLO
Atlas,ATLAS
La Scuola SEI,IL CAPITELLO
Sanoma Italia,PEARSON LONGMAN
Mondadori Education,MINERVA ITALICA
Lattes,LATTES
ELI La Spiga,ELI
Loescher,D'ANNA
Mondadori Education,LE MONNIER
DeaScuola,CIDEB - BLACK CAT
DeaScuola,GARZANTI SCUOLA
Rizzoli Education,TRAMONTANA
ELI La Spiga,LA SPIGA
Rizzoli Education,LA NUOVA ITALIA EDITRICE
Mondadori Education,EINAUDI SCUOLA
Giunti,GIUNTI TVP
Loescher,CAMBRIDGE UNIVERSITY PRESS
Mondadori Education,PIEMME SCUOLA
Zanichelli,CLITT
Sanoma Italia,PEARSON SCIENCE
Mondadori Education,MURSIA SCUOLA
Raffaello Scuola,CELTIC PUBLISHING
ELI La Spiga,CETEM
Giunti,GIUNTI ELT
Palumbo,PALUMBO
Lisciani,LISCIANI SCUOLA
Mondadori Education,POSEIDONIA
Rizzoli Education,SANSONI PER LA SCUOLA
La Scuola SEI,ELLE DI CI
Principato,PRINCIPATO
Simone,SIMONE PER LA SCUOLA
EDB,EDB EDIZ.DEHONIANE BO (CED)
La Scuola SEI,PICCOLI
Sanoma Italia,LINX
Laterza,LATERZA SCOLASTICA
Mondadori Education,SCUOLA & AZIENDA
Mondadori Education,MACMILLAN
La Scuola SEI,TRINITY WHITEBRIDGE
Altri,EDIZIONE LIBERA (A SCELTA)
Mondadori Education,CARLO SIGNORELLI EDITORE
Mondadori Education,JUVENILIA
Mondadori Education,ELECTA SCUOLA
San Marco,SAN MARCO
Sanoma Italia,PARAMOND
Gaia,GAIA EDIZIONI
Rizzoli Education,RIZZOLI LANGUAGES
Raffaello Scuola,THEOREMA
Hoepli,EUROPASS
Medusa,MEDUSA EDITRICE
Ardea ,ARDEA EDITRICE
Sanoma Italia,PEARSON EDUCATION
Edisco,EDISCO
Clio,CLIO
Rizzoli Education,MARKES
La Scuola SEI,REDA EDIZIONI
Feltrinelli,FELTRINELLI
ELI La Spiga,PLAN EDIZIONI
Tredieci,TREDIECI EDITRICE
ELI La Spiga,BULGARINI
Zanichelli,LUCISANO EDITORE
Rizzoli Education,CALDERINI
La Scuola SEI,HACHETTE
Loescher,HELBLING LANGUAGES
Rizzoli Education,EDAGRICOLE
Sanoma Italia,ARCHIMEDE EDIZIONI
Liberty,LIBERTY
Rizzoli Education,CAPPELLI EDITORE
Trevisini,TREVISINI
DeaScuola,GHISETTI & CORVI EDITORI
DeaScuola,CEDAM
DeaScuola,VALMARTINA
Ellepiesse,ELLEPIESSE EDIZIONI
Elledue,ELLEDUE EDIZIONI
Mondadori Education,MONDADORI FOR ENGLISH
Itacalibri,ITACALIBRI
DeaScuola,LIVIANA
Trama,TRAMA
Accademia Vivarium,ACCADEMIA VIVARIUM NOVUM EDIZ.
Hoepli,DIFUSION
DeaScuola,GARZANTI LINGUISTICA
DeaScuola,DEASCUOLA
Loescher,HUEBER
Hoepli,EDELSA
Dante Alighieri,DANTE ALIGHIERI
Altri,KLETT
Altri,JONATHAN EDIZIONI
Altri,AUDINO EDITORE
Altri,IBN EDITORE
San Paolo,SAN PAOLO
Zanichelli,CRISTIAN LUCISANO EDITORE
Altri,MANNARINO EDITORE
ELI La Spiga,NATIONAL GEOGRAPHIC LEARNING/C
Altri,MAIEUTICAL LABS EDITORE
Altri,RICORDI
Altri,CURCI
Altri,KOALA EDIZIONI
Altri,CONTEMPONET
Altri,HEINLE ELT (THOMSON ELT)
Rizzoli Education,ETAS SCUOLA
Altri,APEIRON EDITORE
Sanoma Italia,PEARSON ITALIA
Zanichelli,BOVOLENTA
Altri,CARISCH
Altri,EDINUMEN EDITORIAL
Rizzoli Education,BOMPIANI PER LA SCUOLA
Giunti,EDIZIONI DEL BORGO
